date,geo_value,hosps_7dav
2022-04-25,ne,2.4285714
2022-04-25,nh,4.5714286
2022-04-25,nj,19.7142857
2022-04-25,nm,7.5714286
2022-04-25,nv,10.8571429
2022-04-25,ny,44.7142857
2022-04-25,oh,17.1428571
2022-04-25,ok,8.2857143
2022-04-25,or,4.4285714
2022-04-25,pa,31.4285714
2022-04-25,pr,15.1428571
2022-04-25,ri,0.7142857
2022-04-25,sc,4.8571429
2022-04-25,sd,1
2022-04-25,tn,5.5714286
2022-04-25,tx,39.5714286
2022-04-25,ut,1
2022-04-25,va,7.4285714
2022-04-25,vi,0
2022-04-25,vt,1
2022-04-25,wa,4.1428571
2022-04-25,wi,8.7142857
2022-04-25,wv,5.7142857
2022-04-25,wy,0.1428571
2022-04-26,ak,0.1428571
2022-04-26,al,3.2857143
2022-04-26,ar,4.7142857
2022-04-26,as,0
2022-04-26,az,20.4285714
2022-04-26,ca,26.2857143
2022-04-26,co,25.4285714
2022-04-26,ct,8.4285714
2022-04-26,dc,0.2857143
2022-04-26,de,2.2857143
2022-04-26,fl,23.1428571
2022-04-26,ga,6.5714286
2022-04-26,hi,0.8571429
2022-04-26,ia,3
2022-04-26,id,1.7142857
2022-04-26,il,17.7142857
2022-04-26,in,11
2022-04-26,ks,4.7142857
2022-04-26,ky,14
2022-04-26,la,2.5714286
2022-04-26,ma,30.1428571
2022-04-26,md,8.4285714
2022-04-26,me,4.8571429
2022-04-26,mi,21.2857143
2022-04-26,mn,4.7142857
2022-04-26,mo,10
2022-04-26,ms,3.8571429
2022-04-26,mt,2.4285714
2022-04-26,nc,10
2022-04-26,nd,0.7142857
2022-04-26,ne,2.4285714
2022-04-26,nh,5
2022-04-26,nj,19.5714286
2022-04-26,nm,7.1428571
2022-04-26,nv,9.2857143
2022-04-26,ny,43.8571429
2022-04-26,oh,16
2022-04-26,ok,7.5714286
2022-04-26,or,4.2857143
2022-04-26,pa,30.7142857
2022-04-26,pr,14.4285714
2022-04-26,ri,0.5714286
2022-04-26,sc,5.2857143
2022-04-26,sd,1
2022-04-26,tn,6
2022-04-26,tx,34.1428571
2022-04-26,ut,0.7142857
2022-04-26,va,7.1428571
2022-04-26,vi,0
2022-04-26,vt,0.8571429
2022-04-26,wa,4.7142857
2022-04-26,wi,8.8571429
2022-04-26,wv,6.4285714
2022-04-26,wy,0.5714286
2022-04-27,ak,0.1428571
2022-04-27,al,2.7142857
2022-04-27,ar,4.5714286
2022-04-27,as,0
2022-04-27,az,22.2857143
2022-04-27,ca,28
2022-04-27,co,25.7142857
2022-04-27,ct,9.1428571
2022-04-27,dc,0.4285714
2022-04-27,de,2
2022-04-27,fl,23
2022-04-27,ga,6.8571429
2022-04-27,hi,0.7142857
2022-04-27,ia,3.1428571
2022-04-27,id,1.7142857
2022-04-27,il,16
2022-04-27,in,10.2857143
2022-04-27,ks,3.8571429
2022-04-27,ky,13.4285714
2022-04-27,la,1.7142857
2022-04-27,ma,29.2857143
2022-04-27,md,8.1428571
2022-04-27,me,5.2857143
2022-04-27,mi,22.2857143
2022-04-27,mn,4.1428571
2022-04-27,mo,9
2022-04-27,ms,4.1428571
2022-04-27,mt,2.2857143
2022-04-27,nc,9.2857143
2022-04-27,nd,0.7142857
2022-04-27,ne,2.2857143
2022-04-27,nh,4.5714286
2022-04-27,nj,20.4285714
2022-04-27,nm,6.8571429
2022-04-27,nv,8.2857143
2022-04-27,ny,43.1428571
2022-04-27,oh,16.1428571
2022-04-27,ok,7.7142857
2022-04-27,or,4.7142857
2022-04-27,pa,29.2857143
2022-04-27,pr,11.8571429
2022-04-27,ri,0.4285714
2022-04-27,sc,5.2857143
2022-04-27,sd,1
2022-04-27,tn,6.4285714
2022-04-27,tx,31.2857143
2022-04-27,ut,0.8571429
2022-04-27,va,7.2857143
2022-04-27,vi,0
2022-04-27,vt,0.8571429
2022-04-27,wa,5.5714286
2022-04-27,wi,9.4285714
2022-04-27,wv,6.7142857
2022-04-27,wy,0.5714286
2022-04-28,ak,0.1428571
2022-04-28,al,2.5714286
2022-04-28,ar,5.1428571
2022-04-28,as,0
2022-04-28,az,22.8571429
2022-04-28,ca,29
2022-04-28,co,27.2857143
2022-04-28,ct,8.1428571
2022-04-28,dc,0.4285714
2022-04-28,de,1.7142857
2022-04-28,fl,24.8571429
2022-04-28,ga,5.8571429
2022-04-28,hi,0.7142857
2022-04-28,ia,3
2022-04-28,id,1.8571429
2022-04-28,il,16.5714286
2022-04-28,in,10.5714286
2022-04-28,ks,4.1428571
2022-04-28,ky,13.5714286
2022-04-28,la,1.4285714
2022-04-28,ma,29.1428571
2022-04-28,md,8.2857143
2022-04-28,me,5.2857143
2022-04-28,mi,20.1428571
2022-04-28,mn,4.5714286
2022-04-28,mo,9.1428571
2022-04-28,ms,4.1428571
2022-04-28,mt,2.5714286
2022-04-28,nc,10.1428571
2022-04-28,nd,0.5714286
2022-04-28,ne,2.2857143
2022-04-28,nh,4.8571429
2022-04-28,nj,20.1428571
2022-04-28,nm,7.1428571
2022-04-28,nv,7.7142857
2022-04-28,ny,42
2022-04-28,oh,15.4285714
2022-04-28,ok,7.1428571
2022-04-28,or,3.8571429
2022-04-28,pa,27.5714286
2022-04-28,pr,9.8571429
2022-04-28,ri,0.5714286
2022-04-28,sc,5.5714286
2022-04-28,sd,1.1428571
2022-04-28,tn,6.8571429
2022-04-28,tx,29.8571429
2022-04-28,ut,0.4285714
2022-04-28,va,8
2022-04-28,vi,0
2022-04-28,vt,0.8571429
2022-04-28,wa,5.5714286
2022-04-28,wi,10
2022-04-28,wv,6.8571429
2022-04-28,wy,0.5714286
2022-04-29,ak,0.1428571
2022-04-29,al,2.2857143
2022-04-29,ar,5
2022-04-29,as,0
2022-04-29,az,23.4285714
2022-04-29,ca,30.7142857
2022-04-29,co,23.5714286
2022-04-29,ct,8.1428571
2022-04-29,dc,0.4285714
2022-04-29,de,1.2857143
2022-04-29,fl,25.1428571
2022-04-29,ga,5.2857143
2022-04-29,hi,0.5714286
2022-04-29,ia,2.4285714
2022-04-29,id,2.1428571
2022-04-29,il,15
2022-04-29,in,10.5714286
2022-04-29,ks,3.2857143
2022-04-29,ky,14
2022-04-29,la,2.4285714
2022-04-29,ma,28
2022-04-29,md,7.7142857
2022-04-29,me,4.2857143
2022-04-29,mi,19.4285714
2022-04-29,mn,4.1428571
2022-04-29,mo,8.2857143
2022-04-29,ms,3.8571429
2022-04-29,mt,2.5714286
2022-04-29,nc,9.1428571
2022-04-29,nd,0.4285714
