date,New_York,Los_Angeles,Chicago,Houston,Miami,Seattle,Denver,Dallas,Boston,San_Francisco,mean
2021-03-27,11.7,15.4,9.6,23.2,25.5,8.0,2.3,19.9,9.1,11.1,13.579999999999998
2021-03-28,12.1,20.9,5.5,18.4,25.9,6.2,5.3,16.3,8.8,10.7,13.01
2021-03-29,7.9,19.4,6.3,14.6,25.5,5.0,8.4,16.2,6.9,11.1,12.129999999999999
2021-03-30,7.8,16.8,12.3,21.3,25.8,5.3,0.2,20.0,6.3,13.7,12.95
2021-03-31,12.2,20.0,3.5,20.4,26.1,6.2,-0.2,15.4,12.8,15.9,13.23
2021-04-01,7.2,21.6,-1.1,14.8,24.1,7.5,4.4,12.6,7.0,15.6,11.37
2021-04-02,0.9,18.1,2.3,12.6,20.2,7.3,8.3,13.5,0.2,11.0,9.44
2021-04-03,4.2,15.9,10.2,13.8,20.3,7.8,10.6,16.7,2.4,11.0,11.290000000000001
2021-04-04,9.7,16.2,12.2,16.7,21.3,6.7,12.6,18.1,6.4,11.2,13.11
2021-04-05,11.7,16.0,17.6,18.9,21.5,6.0,13.5,19.7,9.0,10.7,14.459999999999997
2021-04-06,11.2,15.9,20.0,21.5,21.7,6.7,7.3,22.0,9.0,10.5,14.580000000000002
2021-04-07,12.0,17.1,19.0,22.9,22.4,6.2,7.2,21.4,8.8,10.4,14.740000000000004
2021-04-08,11.6,17.2,14.4,22.5,22.9,6.8,9.2,19.7,9.1,11.1,14.45
2021-04-09,8.8,16.9,12.5,23.6,23.7,5.7,6.4,22.8,10.2,10.9,14.15
2021-04-10,12.2,17.1,8.7,21.9,24.8,5.8,7.4,17.0,14.8,10.7,14.040000000000001
2021-04-11,11.9,17.0,8.1,19.5,24.6,5.6,7.1,19.6,8.8,10.8,13.299999999999997
2021-04-12,7.9,16.1,11.7,21.4,24.0,7.2,2.4,23.4,7.0,10.6,13.169999999999998
2021-04-13,11.0,14.7,8.3,23.0,23.9,9.0,2.2,20.2,8.6,11.3,13.220000000000002
2021-04-14,12.9,14.0,5.4,22.1,23.5,10.1,2.8,18.0,8.1,11.4,12.829999999999998
2021-04-15,10.7,13.5,5.2,19.7,23.8,10.9,2.2,16.2,6.8,10.9,11.99
2021-04-16,7.8,15.1,5.3,19.7,24.3,12.5,-0.9,14.9,3.1,10.6,11.239999999999998
2021-04-17,8.7,16.0,5.5,16.0,26.7,13.2,-0.9,12.8,4.9,12.8,11.57
2021-04-18,10.6,21.5,8.9,14.2,25.7,13.7,2.0,13.2,8.2,13.7,13.170000000000002
2021-04-19,11.5,21.3,7.8,15.6,26.5,13.6,-0.5,15.2,10.8,12.7,13.449999999999998
2021-04-20,14.5,16.6,2.7,18.2,25.9,12.7,-6.0,13.2,13.4,12.3,12.350000000000001
2021-04-21,11.5,15.2,2.3,14.0,24.9,12.2,-3.5,10.1,11.6,11.4,10.97
2021-04-22,5.0,14.5,6.0,15.8,23.9,11.0,-1.3,14.0,3.6,10.9,10.34
2021-04-23,9.3,14.8,10.3,21.4,24.3,10.9,3.4,18.3,7.8,11.3,13.180000000000001
2021-04-24,13.0,15.5,10.3,24.1,25.7,8.7,6.1,18.2,13.7,11.5,14.679999999999998
2021-04-25,12.0,14.7,4.6,19.9,27.6,9.3,11.8,18.7,9.7,11.3,13.959999999999999
2021-04-26,9.1,14.9,13.8,21.0,25.1,10.1,14.7,22.4,8.4,10.9,15.040000000000001
2021-04-27,9.9,14.9,21.7,23.7,25.1,10.7,8.3,22.4,10.3,12.3,15.930000000000003
2021-04-28,17.0,19.6,10.2,25.3,25.4,11.5,7.7,24.4,10.6,13.4,16.509999999999998
2021-04-29,18.1,22.4,9.5,24.1,26.4,13.3,10.6,21.4,9.2,12.7,16.769999999999996
2021-04-30,15.4,24.0,7.4,22.1,27.0,12.8,14.2,19.6,12.1,12.7,16.729999999999997
2021-05-01,11.1,18.2,15.1,21.3,26.3,10.9,17.4,19.4,10.1,13.1,16.29
2021-05-02,18.4,17.2,21.5,23.4,26.5,10.6,13.0,21.2,15.2,14.4,18.139999999999997
2021-05-03,14.2,18.1,17.5,25.7,27.5,9.5,5.7,24.3,12.6,15.5,17.06
2021-05-04,14.8,19.3,10.7,24.8,27.7,11.7,7.5,19.1,9.6,15.1,16.029999999999998
2021-05-05,12.6,19.0,8.3,21.0,27.8,11.7,8.2,17.0,8.9,12.6,14.709999999999999
2021-05-06,13.0,16.8,8.0,21.4,26.7,12.6,10.5,19.6,12.3,12.4,15.330000000000002
2021-05-07,11.9,17.1,7.8,21.5,25.2,8.9,15.1,21.2,9.3,13.8,15.180000000000001
2021-05-08,9.9,17.5,6.3,22.8,24.4,9.1,14.4,23.8,8.7,17.2,15.41
2021-05-09,10.4,17.6,6.1,25.3,25.4,11.5,6.6,24.6,12.6,16.6,15.669999999999998
2021-05-10,11.3,17.6,5.8,25.9,26.6,11.3,5.6,16.4,11.8,15.5,14.780000000000001
2021-05-11,12.3,17.8,6.2,24.7,27.0,12.4,3.0,16.1,12.2,13.3,14.5
2021-05-12,12.0,17.5,8.7,20.3,27.8,13.7,7.0,16.1,11.5,11.7,14.629999999999999
2021-05-13,13.9,17.2,11.1,21.1,26.5,13.8,11.2,18.4,13.4,11.1,15.770000000000001
2021-05-14,15.4,16.6,13.5,21.5,24.9,14.2,12.3,19.3,15.8,12.1,16.560000000000002
2021-05-15,16.6,16.9,13.4,22.4,24.8,14.2,13.1,21.7,16.6,11.9,17.16
2021-05-16,16.5,16.0,14.9,23.2,24.7,15.1,12.3,21.1,17.9,12.0,17.369999999999997
2021-05-17,16.8,16.5,15.4,22.4,25.1,12.6,12.4,23.6,16.8,11.5,17.31
2021-05-18,19.5,17.6,17.9,23.2,25.8,10.6,10.9,21.8,20.6,13.7,18.16
2021-05-19,20.9,17.9,19.5,22.1,26.2,9.8,12.4,22.2,18.6,12.6,18.22
2021-05-20,16.6,17.9,23.1,22.6,25.6,10.3,15.7,20.8,17.1,12.7,18.240000000000002
2021-05-21,17.8,17.2,23.7,23.9,25.6,11.7,17.9,23.2,18.4,13.2,19.259999999999998
2021-05-22,24.3,16.1,24.6,23.3,25.7,12.6,14.3,22.4,23.9,12.1,19.93
2021-05-23,25.1,16.7,21.3,22.7,25.5,13.2,16.1,21.7,24.3,11.7,19.83
2021-05-24,16.0,21.6,21.8,23.1,25.6,12.1,13.8,21.4,15.5,13.0,18.39
2021-05-25,17.7,23.3,24.6,23.8,25.8,13.6,15.4,22.9,18.4,14.0,19.95
2021-05-26,23.3,20.0,21.3,25.3,26.2,13.4,16.7,25.5,24.4,13.1,20.919999999999998
2021-05-27,22.7,17.9,12.1,25.8,26.2,12.3,15.9,26.1,22.0,13.7,19.47
2021-05-28,14.7,17.6,8.8,24.6,26.3,12.1,16.6,23.7,12.3,12.6,16.93
2021-05-29,9.8,17.3,9.7,24.8,26.1,12.7,15.9,23.3,8.7,12.5,16.08
2021-05-30,10.0,17.4,12.6,23.4,26.8,13.7,12.0,20.4,9.8,13.6,15.970000000000002
2021-05-31,14.2,18.3,16.3,24.4,25.2,16.1,10.8,20.8,12.4,14.7,17.32
2021-06-01,17.1,18.7,15.7,24.5,24.9,19.0,12.4,20.5,17.6,13.7,18.41
2021-06-02,17.3,18.3,17.0,24.0,25.2,19.8,14.9,21.1,19.7,12.2,18.949999999999996
2021-06-03,18.0,19.2,21.0,23.4,25.6,17.8,17.8,22.4,18.6,13.4,19.72
2021-06-04,20.9,19.8,26.4,22.8,26.6,15.6,20.3,21.8,21.1,14.4,20.970000000000002
2021-06-05,24.4,19.1,27.0,23.6,27.2,13.6,21.5,22.6,24.5,15.1,21.86
2021-06-06,25.8,18.1,26.4,24.7,27.4,10.6,22.7,23.5,27.1,15.3,22.16
2021-06-07,25.4,17.5,22.7,27.5,27.7,11.1,22.0,23.6,27.8,13.9,21.92
2021-06-08,25.2,18.7,23.0,27.2,27.9,12.9,22.8,25.4,27.3,12.9,22.330000000000005
2021-06-09,25.7,19.0,21.0,27.9,27.8,13.6,23.2,27.4,25.1,12.7,22.339999999999996
2021-06-10,22.3,19.1,20.0,27.5,28.0,13.7,24.7,27.6,18.1,13.1,21.409999999999997
2021-06-11,17.8,20.1,23.1,27.7,27.9,13.7,20.2,28.1,15.4,13.8,20.779999999999998
2021-06-12,18.5,21.5,21.9,27.7,27.2,16.1,20.8,27.9,17.5,16.1,21.520000000000003
2021-06-13,18.9,21.9,22.2,28.0,27.5,15.9,23.0,29.1,20.5,15.7,22.27
2021-06-14,19.2,23.1,21.3,28.6,25.3,15.3,24.4,29.0,18.6,16.4,22.119999999999997
2021-06-15,21.0,25.2,19.0,28.1,26.5,15.1,25.5,28.5,19.9,16.9,22.57
2021-06-16,19.5,23.6,18.2,27.6,25.7,15.0,27.4,28.7,18.7,18.1,22.25
2021-06-17,18.6,23.9,24.2,28.0,26.9,15.9,27.2,29.3,18.7,18.7,23.139999999999997
2021-06-18,21.1,21.6,26.6,27.6,27.9,15.6,25.5,29.1,21.2,16.5,23.27
2021-06-19,24.2,21.1,24.5,28.2,28.3,15.9,24.1,28.2,24.7,15.3,23.449999999999996
2021-06-20,23.2,20.2,22.2,27.1,27.8,18.4,22.7,29.8,25.2,14.5,23.109999999999996
2021-06-21,24.8,20.3,19.4,26.7,28.4,20.5,16.3,27.0,25.1,15.4,22.39
2021-06-22,20.3,20.9,17.5,26.3,28.3,19.7,22.3,24.4,23.0,16.5,21.92
2021-06-23,18.1,21.5,19.7,27.5,27.3,17.5,25.5,28.4,18.4,15.9,21.98
2021-06-24,18.5,20.0,21.6,27.5,26.9,19.5,23.0,30.4,18.2,14.3,21.990000000000002
2021-06-25,19.7,20.3,22.4,28.2,26.9,21.7,18.1,30.5,18.4,13.6,21.979999999999997
2021-06-26,23.0,21.7,23.4,27.7,26.7,25.3,16.8,29.8,23.5,13.8,23.170000000000005
2021-06-27,25.8,22.8,23.8,26.2,27.1,27.0,16.6,27.4,26.2,14.0,23.69
2021-06-28,27.7,22.1,22.8,24.4,26.7,29.2,16.7,24.9,29.3,14.6,23.84
2021-06-29,28.7,21.6,23.8,25.7,25.4,24.6,17.2,25.7,30.1,15.4,23.819999999999997
2021-06-30,29.9,21.9,23.1,26.1,25.1,20.5,19.6,26.2,28.9,14.9,23.619999999999997
2021-07-01,24.8,22.5,18.1,26.5,25.3,19.5,18.6,27.9,24.4,14.8,22.240000000000002
2021-07-02,22.0,22.3,16.5,27.2,26.2,20.2,19.7,26.5,17.4,14.4,21.240000000000002
2021-07-03,17.7,22.1,21.7,25.7,27.8,20.9,22.6,24.9,15.3,14.6,21.330000000000002
2021-07-04,20.5,21.5,25.5,25.7,28.3,20.2,22.2,26.3,15.9,14.8,22.09
2021-07-05,23.0,21.1,26.8,25.7,26.6,18.8,22.1,26.2,18.4,14.2,22.29
2021-07-06,26.5,21.6,27.0,25.0,28.0,20.0,21.6,26.6,24.6,13.7,23.459999999999997
2021-07-07,26.9,22.1,24.2,25.3,28.3,17.9,23.3,27.0,26.1,13.6,23.47
2021-07-08,24.6,23.4,17.6,25.0,27.9,17.0,26.9,28.0,18.7,13.8,22.29
2021-07-09,24.7,24.4,18.3,25.4,28.2,19.2,26.5,26.4,20.7,15.2,22.9
2021-07-10,23.3,24.2,20.1,26.8,26.5,19.3,23.6,28.1,19.6,15.2,22.669999999999995
2021-07-11,22.6,24.0,18.6,27.5,27.2,18.7,22.7,28.2,21.1,14.1,22.469999999999995
2021-07-12,24.9,23.0,19.8,27.1,26.7,19.4,23.8,26.7,19.1,13.5,22.4
2021-07-13,22.9,22.8,21.5,25.7,26.8,20.2,24.0,27.3,18.2,13.5,22.29
2021-07-14,25.1,23.7,24.1,25.3,26.7,18.4,21.5,27.1,22.0,13.8,22.770000000000003
2021-07-15,25.9,23.2,22.9,26.2,27.1,16.8,21.6,28.0,24.6,13.3,22.96
2021-07-16,27.8,22.4,19.3,26.6,27.7,17.4,24.6,29.4,26.9,13.6,23.57
2021-07-17,26.8,23.1,19.1,28.0,27.1,18.3,24.5,29.8,21.8,14.3,23.280000000000005
2021-07-18,25.3,24.5,21.2,27.1,27.9,18.7,24.9,29.3,20.8,14.3,23.400000000000002
2021-07-19,24.1,24.8,21.8,26.6,28.7,19.6,25.6,26.0,20.8,14.6,23.26
2021-07-20,25.7,24.3,22.7,26.4,27.6,17.7,26.3,26.0,24.3,15.4,23.64
2021-07-21,23.9,25.0,19.1,26.2,28.9,17.1,26.3,26.5,23.1,15.6,23.169999999999998
2021-07-22,22.6,24.6,22.4,26.3,29.3,17.8,26.4,27.8,20.9,14.9,23.300000000000004
2021-07-23,22.5,23.3,25.6,28.2,28.1,18.3,26.0,29.7,20.5,14.9,23.71
2021-07-24,22.8,22.0,26.9,28.5,27.2,19.9,24.3,30.8,20.3,14.1,23.68
2021-07-25,24.5,21.6,26.4,28.0,27.5,20.4,24.3,31.2,21.4,14.1,23.94
2021-07-26,26.1,20.7,26.3,28.5,27.9,19.9,25.5,31.1,25.2,14.8,24.6
2021-07-27,25.2,22.1,26.1,27.6,27.9,20.3,25.7,31.8,24.5,15.5,24.67
2021-07-28,23.3,23.4,27.5,27.3,27.5,21.2,27.8,30.5,19.6,14.8,24.29
2021-07-29,22.5,22.9,25.3,28.3,27.7,21.4,26.6,30.3,20.6,14.7,24.029999999999998
2021-07-30,23.2,22.1,18.8,27.8,28.6,21.8,25.0,31.2,21.2,14.5,23.419999999999998
2021-07-31,20.0,22.5,21.1,27.8,29.5,20.9,20.5,31.8,18.4,15.5,22.800000000000004
2021-08-01,21.4,23.2,20.3,28.3,28.9,21.3,20.0,29.7,19.7,15.8,22.86
2021-08-02,21.6,24.1,20.3,27.8,28.9,20.3,21.7,25.6,20.9,15.8,22.7
2021-08-03,20.6,23.9,21.6,26.5,28.3,20.7,22.3,26.4,20.7,13.9,22.490000000000002
2021-08-04,21.0,23.1,22.5,26.5,27.3,21.1,20.7,26.7,20.0,13.8,22.27
2021-08-05,21.8,23.3,24.0,26.2,28.3,21.6,22.6,26.7,18.6,15.0,22.809999999999995
2021-08-06,24.0,22.3,21.9,26.0,28.6,19.0,24.2,27.6,23.0,16.8,23.339999999999996
2021-08-07,24.6,21.5,24.0,27.7,27.3,18.1,22.0,28.5,25.1,15.4,23.419999999999998
2021-08-08,20.9,21.3,26.1,28.3,27.1,17.2,23.6,30.4,23.6,15.3,23.380000000000003
2021-08-09,23.0,21.7,23.3,28.6,29.0,18.6,24.6,31.0,20.8,15.7,23.63
2021-08-10,24.2,23.0,25.4,28.3,28.9,20.3,24.6,30.6,21.5,15.4,24.22
2021-08-11,26.8,25.0,24.9,27.3,28.0,22.2,25.1,30.8,26.8,15.6,25.25
2021-08-12,28.5,25.3,25.6,27.0,28.2,23.4,23.6,31.0,28.4,15.4,25.639999999999997
